"Date","Price","Open","High","Low","Vol.","Change %"
"01-07-2024","24,313.10","24,022.60","24,428.15","24,007.05","1,907.71B","1.26%"
"01-06-2024","24,010.60","23,337.90","24,174.00","21,281.45","7,751.10B","6.57%"
"01-05-2024","22,530.70","22,567.85","23,110.80","21,821.05","6,710.59B","-0.33%"
"01-04-2024","22,604.85","22,455.00","22,783.35","21,777.65","6,277.66B","1.24%"
"01-03-2024","22,326.90","22,048.30","22,526.60","21,710.20","6,735.78B","1.57%"
"01-02-2024","21,982.80","21,780.65","22,297.50","21,530.20","6,728.16B","1.18%"
"01-01-2024","21,725.70","21,727.75","22,124.15","21,137.20","6,824.38B","-0.03%"
"01-12-2023","21,731.40","20,194.10","21,801.45","20,183.70","6,121.37B","7.94%"
"01-11-2023","20,133.15","19,064.05","20,158.70","18,973.70","4,423.32B","5.52%"
"01-10-2023","19,079.60","19,622.40","19,849.75","18,837.85","4,248.51B","-2.84%"
"01-09-2023","19,638.30","19,258.15","20,222.45","19,255.70","5,666.41B","2.00%"
"01-08-2023","19,253.80","19,784.00","19,795.60","19,223.65","6,253.99B","-2.53%"
"01-07-2023","19,753.80","19,246.50","19,991.85","19,234.40","5,802.27B","2.94%"
"01-06-2023","19,189.05","18,579.40","19,201.70","18,464.55","5,144.19B","3.53%"
"01-05-2023","18,534.40","18,124.80","18,662.45","18,042.40","5,737.40B","2.60%"
"01-04-2023","18,065.00","17,427.95","18,089.15","17,312.75","4,459.76B","4.06%"
"01-03-2023","17,359.75","17,360.10","17,799.95","16,828.35","5,622.28B","0.32%"
"01-02-2023","17,303.95","17,811.60","18,134.75","17,255.20","5,685.63B","-2.03%"
"01-01-2023","17,662.15","18,131.70","18,251.95","17,405.55","5,632.81B","-2.45%"
"01-12-2022","18,105.30","18,871.95","18,887.60","17,774.25","4,741.44B","-3.48%"
"01-11-2022","18,758.35","18,130.70","18,816.05","17,959.20","5,257.00B","4.14%"
"01-10-2022","18,012.20","17,102.10","18,022.80","16,855.55","4,539.96B","5.37%"
"01-09-2022","17,094.35","17,485.70","18,096.15","16,747.70","6,896.51B","-3.74%"
"01-08-2022","17,759.30","17,243.20","17,992.20","17,154.80","5,589.51B","3.50%"
"01-07-2022","17,158.25","15,703.70","17,172.80","15,511.05","5,475.27B","8.73%"
"01-06-2022","15,780.25","16,594.40","16,793.85","15,183.40","5,514.20B","-4.85%"
"01-05-2022","16,584.55","16,924.45","17,132.85","15,735.75","6,343.31B","-3.03%"
"01-04-2022","17,102.55","17,436.90","18,114.65","16,824.70","5,658.25B","-2.07%"
"01-03-2022","17,464.75","16,593.10","17,559.80","15,671.45","7,959.71B","3.99%"
"01-02-2022","16,793.90","17,529.45","17,794.60","16,203.25","5,620.29B","-3.15%"
"01-01-2022","17,339.85","17,387.15","18,350.95","16,836.80","5,435.45B","-0.08%"
"01-12-2021","17,354.05","17,104.40","17,639.50","16,410.20","5,499.27B","2.18%"
"01-11-2021","16,983.20","17,783.15","18,210.15","16,782.40","5,853.40B","-3.90%"
"01-10-2021","17,671.65","17,531.90","18,604.45","17,452.90","7,651.08B","0.30%"
"01-09-2021","17,618.15","17,185.60","17,947.65","17,055.05","6,955.53B","2.84%"
"01-08-2021","17,132.20","15,874.90","17,153.50","15,834.65","6,349.87B","8.69%"
"01-07-2021","15,763.05","15,755.05","15,962.25","15,513.45","5,996.74B","0.26%"
"01-06-2021","15,721.50","15,629.65","15,915.65","15,450.90","8,079.09B","0.89%"
"01-05-2021","15,582.80","14,481.05","15,606.35","14,416.25","10,269.75B","6.50%"
"01-04-2021","14,631.10","14,798.40","15,044.35","14,151.40","9,640.13B","-0.41%"
"01-03-2021","14,690.70","14,702.50","15,336.30","14,264.40","11,356.83B","1.11%"
"01-02-2021","14,529.15","13,758.60","15,431.75","13,661.75","14,313.92B","6.56%"
"01-01-2021","13,634.60","13,996.10","14,753.55","13,596.75","13,019.73B","-2.48%"
"01-12-2020","13,981.75","13,062.20","14,024.85","12,962.80","12,077.48B","7.81%"
"01-11-2020","12,968.95","11,697.35","13,145.85","11,557.40","13,112.43B","11.39%"
"01-10-2020","11,642.40","11,364.45","12,025.45","11,347.05","11,602.47B","3.51%"
"01-09-2020","11,247.55","11,464.30","11,618.10","10,790.20","13,446.18B","-1.23%"
"01-08-2020","11,387.50","11,057.55","11,794.25","10,882.25","14,035.51B","2.84%"
"01-07-2020","11,073.45","10,323.80","11,341.40","10,299.60","14,640.02B","7.49%"
"01-06-2020","10,302.10","9,726.85","10,553.15","9,544.35","16,778.74B","7.53%"
"01-05-2020","9,580.30","9,533.50","9,598.85","8,806.75","13,675.69B","-2.84%"
"01-04-2020","9,859.90","8,584.10","9,889.05","8,055.80","12,736.48B","14.68%"
"01-03-2020","8,597.75","11,387.35","11,433.00","7,511.10","21,302.93B","-23.25%"
"01-02-2020","11,201.75","11,939.00","12,246.70","11,175.05","11,191.05B","-6.36%"
"01-01-2020","11,962.10","12,202.15","12,430.50","11,929.60","11,934.46B","-1.70%"
"01-12-2019","12,168.45","12,137.05","12,293.90","11,832.30","12,549.77B","0.93%"
"01-11-2019","12,056.05","11,886.60","12,158.80","11,802.65","13,177.76B","1.50%"
"01-10-2019","11,877.45","11,515.40","11,945.00","11,090.15","15,622.87B","3.51%"
"01-09-2019","11,474.45","10,960.95","11,694.85","10,670.25","12,210.01B","4.09%"
"01-08-2019","11,023.25","11,060.20","11,181.45","10,637.15","11,152.90B","-0.85%"
"01-07-2019","11,118.00","11,839.90","11,981.75","10,999.40","9,988.47B","-5.69%"
"01-06-2019","11,788.85","11,953.75","12,103.05","11,625.10","6,788.08B","-1.12%"
"01-05-2019","11,922.80","11,725.55","12,041.15","11,108.30","8,645.73B","1.49%"
"01-04-2019","11,748.15","11,665.20","11,856.15","11,549.10","6,516.82B","1.07%"
"01-03-2019","11,623.90","10,842.65","11,630.35","10,817.00","6,857.09B","7.70%"
"01-02-2019","10,792.50","10,851.35","11,118.10","10,585.65","7,461.36B","-0.36%"
"01-01-2019","10,830.95","10,881.70","10,987.45","10,583.65","7,433.20B","-0.29%"
"01-12-2018","10,862.55","10,930.70","10,985.15","10,333.85","6,735.43B","-0.13%"
"01-11-2018","10,876.75","10,441.70","10,922.45","10,341.90","6,785.03B","4.72%"
"01-10-2018","10,386.60","10,930.90","11,035.65","10,004.55","8,144.58B","-4.98%"
"01-09-2018","10,930.45","11,751.80","11,751.80","10,850.30","6,028.13B","-6.42%"
"01-08-2018","11,680.50","11,359.80","11,760.20","11,234.95","5,411.82B","2.85%"
"01-07-2018","11,356.50","10,732.35","11,366.00","10,604.65","5,290.68B","5.99%"
"01-06-2018","10,714.30","10,738.45","10,893.25","10,550.90","4,828.46B","-0.20%"
"01-05-2018","10,736.15","10,783.85","10,929.20","10,417.80","5,498.96B","-0.03%"
"01-04-2018","10,739.35","10,151.65","10,759.00","10,111.30","4,945.48B","6.19%"
"01-03-2018","10,113.70","10,479.95","10,525.50","9,951.90","4,524.60B","-3.61%"
"01-02-2018","10,492.85","11,044.55","11,117.35","10,276.30","4,525.45B","-4.85%"
"01-01-2018","11,027.70","10,531.70","11,171.55","10,404.65","4,835.88B","4.72%"
"01-12-2017","10,530.70","10,263.70","10,552.40","10,033.35","3,612.87B","2.97%"
"01-11-2017","10,226.55","10,390.35","10,490.45","10,094.00","4,794.41B","-1.05%"
"01-10-2017","10,335.30","9,893.30","10,384.50","9,831.05","4,639.71B","5.59%"
"01-09-2017","9,788.60","9,937.65","10,178.95","9,687.55","4,294.09B","-1.30%"
"01-08-2017","9,917.90","10,101.05","10,137.85","9,685.55","4,296.60B","-1.58%"
"01-07-2017","10,077.10","9,587.95","10,114.85","9,543.55","3,848.06B","5.84%"
"01-06-2017","9,520.90","9,603.55","9,709.30","9,448.75","3,667.94B","-1.04%"
"01-05-2017","9,621.25","9,339.85","9,649.60","9,269.90","4,682.36B","3.41%"
"01-04-2017","9,304.05","9,220.60","9,367.15","9,075.15","3,154.37B","1.42%"
"01-03-2017","9,173.75","8,904.40","9,218.40","8,860.10","4,984.93B","3.31%"
"01-02-2017","8,879.60","8,570.35","8,982.15","8,537.50","4,534.66B","3.72%"
"01-01-2017","8,561.30","8,210.10","8,672.70","8,133.80","4,132.83B","4.59%"
"01-12-2016","8,185.80","8,244.00","8,274.95","7,893.80","3,215.11B","-0.47%"
"01-11-2016","8,224.50","8,653.15","8,669.60","7,916.40","4,727.26B","-4.65%"
"01-10-2016","8,625.70","8,666.15","8,806.95","8,506.15","3,422.64B","0.17%"
"01-09-2016","8,611.15","8,793.60","8,968.70","8,555.20","4,021.13B","-1.99%"
"01-08-2016","8,786.20","8,654.30","8,819.20","8,518.15","4,216.39B","1.71%"
"01-07-2016","8,638.50","8,313.05","8,674.70","8,287.55","3,424.49B","4.23%"
"01-06-2016","8,287.75","8,179.20","8,308.15","7,927.05","4,322.69B","1.56%"
"01-05-2016","8,160.10","7,822.70","8,213.60","7,678.35","4,496.41B","3.95%"
"01-04-2016","7,849.80","7,718.05","7,992.00","7,516.85","3,647.98B","1.44%"
"01-03-2016","7,738.40","7,038.25","7,777.60","7,035.10","4,958.35B","10.75%"
"01-02-2016","6,987.05","7,589.50","7,600.45","6,825.80","5,330.30B","-7.62%"
"01-01-2016","7,563.55","7,938.45","7,972.55","7,241.50","3,962.97B","-4.82%"
"01-12-2015","7,946.35","7,958.15","7,979.30","7,551.05","3,120.21B","0.14%"
"01-11-2015","7,935.25","8,054.55","8,116.10","7,714.15","3,158.72B","-1.62%"
"01-10-2015","8,065.80","7,992.05","8,336.30","7,930.65","3,468.20B","1.47%"
"01-09-2015","7,948.90","7,907.95","8,055.00","7,539.50","3,542.71B","-0.28%"
"01-08-2015","7,971.30","8,510.65","8,621.55","7,667.25","4,060.74B","-6.58%"
"01-07-2015","8,532.85","8,376.25","8,654.75","8,315.40","3,193.88B","1.96%"
"01-06-2015","8,368.50","8,417.25","8,467.15","7,940.30","3,254.31B","-0.77%"
"01-05-2015","8,433.65","8,230.05","8,489.55","7,997.15","3,489.47B","3.08%"
"01-04-2015","8,181.50","8,483.70","8,844.80","8,144.75","3,372.83B","-3.65%"
"01-03-2015","8,491.00","8,953.85","9,119.20","8,269.15","3,843.01B","-4.62%"
"01-02-2015","8,901.85","8,802.50","8,941.10","8,470.50","3,776.66B","1.06%"
"01-01-2015","8,808.90","8,272.80","8,996.60","8,065.45","3,487.14B","6.35%"
"01-12-2014","8,282.70","8,605.10","8,626.95","7,961.35","3,148.79B","-3.56%"
"01-11-2014","8,588.25","8,348.15","8,617.00","8,290.25","2,698.03B","3.20%"
"01-10-2014","8,322.20","7,960.50","8,330.75","7,723.85","2,696.56B","4.49%"
"01-09-2014","7,964.80","7,990.35","8,180.20","7,841.80","2,932.01B","0.13%"
"01-08-2014","7,954.35","7,662.50","7,968.25","7,540.10","2,481.86B","3.02%"
"01-07-2014","7,721.30","7,629.00","7,840.95","7,422.15","3,315.61B","1.44%"
"01-06-2014","7,611.35","7,264.05","7,700.05","7,239.50","3,619.11B","5.28%"
"01-05-2014","7,229.95","6,709.95","7,563.50","6,638.55","4,282.80B","7.97%"
"01-04-2014","6,696.40","6,729.50","6,869.85","6,650.40","2,672.52B","-0.12%"
"01-03-2014","6,704.20","6,264.35","6,730.05","6,212.25","3,862.94B","6.81%"
"01-02-2014","6,276.95","6,058.80","6,282.70","5,933.30","2,796.69B","3.08%"
"01-01-2014","6,089.50","6,323.80","6,358.30","6,027.25","3,350.59B","-3.40%"
"01-12-2013","6,304.00","6,171.15","6,415.25","6,129.95","3,616.26B","2.07%"
"01-11-2013","6,176.10","6,289.75","6,342.95","5,972.45","3,017.39B","-1.95%"
"01-10-2013","6,299.15","5,756.10","6,309.05","5,700.95","3,840.82B","9.83%"
"01-09-2013","5,735.30","5,480.25","6,142.50","5,318.90","4,485.95B","4.82%"
"01-08-2013","5,471.80","5,776.90","5,808.50","5,118.85","5,011.68B","-4.71%"
"01-07-2013","5,742.00","5,834.10","6,093.35","5,675.75","3,519.60B","-1.72%"
"01-06-2013","5,842.20","5,997.35","6,011.00","5,566.25","2,981.84B","-2.40%"
"01-05-2013","5,985.95","5,911.40","6,229.45","5,910.95","3,084.87B","0.94%"
"01-04-2013","5,930.20","5,697.35","5,962.30","5,477.20","2,725.23B","4.36%"
"01-03-2013","5,682.55","5,702.45","5,971.20","5,604.85","2,879.00B","-0.18%"
"01-02-2013","5,693.05","6,040.95","6,052.95","5,671.90","3,081.25B","-5.66%"
"01-01-2013","6,034.75","5,937.65","6,111.80","5,935.20","3,075.37B","2.20%"
"01-12-2012","5,905.10","5,878.25","5,965.15","5,823.15","2,406.06B","0.43%"
"01-11-2012","5,879.85","5,609.85","5,885.25","5,548.35","2,300.40B","4.63%"
"01-10-2012","5,619.70","5,704.75","5,815.35","4,888.20","2,772.93B","-1.47%"
"01-09-2012","5,703.30","5,276.50","5,735.15","5,215.70","3,357.58B","8.46%"
"01-08-2012","5,258.50","5,220.70","5,448.60","5,164.65","2,751.93B","0.56%"
"01-07-2012","5,229.00","5,283.85","5,348.55","5,032.40","2,672.52B","-0.95%"
"01-06-2012","5,278.90","4,910.85","5,286.25","4,770.35","3,038.32B","7.20%"
"01-05-2012","4,924.25","5,254.30","5,279.60","4,788.95","3,234.52B","-6.17%"
"01-04-2012","5,248.15","5,296.35","5,378.75","5,154.30","2,740.68B","-0.90%"
"01-03-2012","5,295.55","5,366.00","5,499.40","5,135.95","4,156.38B","-1.66%"
"01-02-2012","5,385.20","5,198.15","5,629.95","5,159.00","5,035.52B","3.58%"
"01-01-2012","5,199.25","4,640.20","5,217.00","4,588.05","4,146.48B","12.43%"
"01-12-2011","4,624.30","4,970.85","5,099.25","4,531.15","3,430.15B","-4.30%"
"01-11-2011","4,832.05","5,278.60","5,326.45","4,639.10","3,295.12B","-9.28%"
"01-10-2011","5,326.60","4,874.40","5,399.70","4,728.30","2,957.66B","7.76%"
"01-09-2011","4,943.25","5,109.80","5,169.25","4,758.85","3,490.69B","-1.15%"
"01-08-2011","5,001.00","5,527.50","5,551.90","4,720.00","3,104.80B","-8.77%"
"01-07-2011","5,482.00","5,705.75","5,740.40","5,453.95","2,315.73B","-2.93%"
"01-06-2011","5,647.40","5,561.05","5,657.90","5,195.90","2,362.54B","1.57%"
"01-05-2011","5,560.15","5,766.90","5,775.25","5,328.70","2,394.07B","-3.29%"
"01-04-2011","5,749.50","5,835.00","5,944.45","5,693.25","2,162.72B","-1.44%"
"01-03-2011","5,833.75","5,382.00","5,872.00","5,348.20","3,223.61B","9.38%"
"01-02-2011","5,333.25","5,537.30","5,599.25","5,177.70","3,733.42B","-3.14%"
"01-01-2011","5,505.90","6,177.45","6,181.05","5,416.65","3,071.89B","-10.25%"
"01-12-2010","6,134.50","5,871.00","6,147.30","5,721.15","2,990.09B","4.64%"
"01-11-2010","5,862.70","6,092.30","6,338.50","5,690.35","3,302.85B","-2.58%"
"01-10-2010","6,017.70","6,030.30","6,284.10","5,937.10","2,905.69B","-0.20%"
"01-09-2010","6,029.95","5,403.05","6,073.50","5,403.05","3,607.75B","11.62%"
"01-08-2010","5,402.40","5,369.55","5,549.80","5,348.90","3,213.98B","0.65%"
"01-07-2010","5,367.60","5,312.05","5,477.50","5,225.60","3,335.48B","1.04%"
"01-06-2010","5,312.50","5,086.25","5,366.75","4,961.05","4,037.08B","4.45%"
"01-05-2010","5,086.30","5,278.40","5,278.70","4,786.45","3,919.21B","-3.63%"
"01-04-2010","5,278.00","5,249.20","5,399.65","5,160.90","3,153.00B","0.55%"
"01-03-2010","5,249.10","4,935.60","5,329.55","4,935.35","3,423.54B","6.64%"
"01-02-2010","4,922.30","4,882.05","4,992.00","4,675.40","3,560.27B","0.82%"
"01-01-2010","4,882.05","5,200.90","5,310.85","4,766.00","3,878.34B","-6.13%"
"01-12-2009","5,201.05","5,039.70","5,221.85","4,943.95","4,388.71B","3.35%"
"01-11-2009","5,032.70","4,712.25","5,138.00","4,538.50","5,189.76B","6.81%"
"01-10-2009","4,711.70","5,087.20","5,181.95","4,687.50","4,887.41B","-7.32%"
"01-09-2009","5,083.95","4,662.20","5,087.60","4,576.60","4,677.96B","9.05%"
"01-08-2009","4,662.10","4,633.80","4,743.75","4,353.45","5,337.42B","0.55%"
"01-07-2009","4,636.45","4,292.30","4,669.75","3,918.75","7,012.95B","8.05%"
"01-06-2009","4,291.10","4,450.40","4,693.20","4,143.25","7,980.02B","-3.55%"
"01-05-2009","4,448.95","3,478.70","4,509.40","3,478.70","7,137.47B","28.07%"
"01-04-2009","3,473.95","3,023.85","3,517.25","2,965.70","6,430.82B","15.00%"
"01-03-2009","3,020.95","2,764.60","3,123.35","2,539.45","5,344.17B","9.31%"
"01-02-2009","2,763.65","2,872.35","2,969.75","2,677.55","3,951.80B","-3.87%"
"01-01-2009","2,874.80","2,963.30","3,147.20","2,661.65","6,113.94B","-2.85%"
"01-12-2008","2,959.15","2,755.15","3,110.45","2,570.70","6,353.78B","7.41%"
"01-11-2008","2,755.10","2,885.40","3,240.55","2,502.90","4,550.24B","-4.52%"
"01-10-2008","2,885.60","3,921.85","4,000.50","2,252.75","4,866.92B","-26.41%"
"01-09-2008","3,921.20","4,356.10","4,558.00","3,715.05","3,087.29B","-10.06%"
"01-08-2008","4,360.00","4,331.60","4,649.85","4,201.85","2,359.93B","0.62%"
"01-07-2008","4,332.95","4,039.75","4,539.45","3,790.20","3,620.69B","7.24%"
"01-06-2008","4,040.55","4,869.25","4,908.80","4,021.70","3,044.04B","-17.03%"
"01-05-2008","4,870.10","5,265.30","5,298.85","4,801.90","2,877.03B","-5.73%"
"01-04-2008","5,165.90","4,735.65","5,230.75","4,628.75","2,680.57B","9.11%"
"01-03-2008","4,734.50","5,222.80","5,222.80","4,468.55","2,638.63B","-9.36%"
"01-02-2008","5,223.50","5,140.60","5,545.20","4,803.60","2,121.34B","1.67%"
"01-01-2008","5,137.45","6,136.75","6,357.10","4,448.50","3,138.93B","-16.31%"
"01-12-2007","6,138.60","5,765.45","6,185.40","5,676.70","2,061.89B","6.52%"
"01-11-2007","5,762.75","5,903.80","6,011.95","5,394.35","3,525.80B","-2.34%"
"01-10-2007","5,900.65","5,021.50","5,976.00","5,000.95","3,504.02B","17.51%"
"01-09-2007","5,021.35","4,466.65","5,055.80","4,445.55","1,880.28B","12.49%"
"01-08-2007","4,464.00","4,528.85","4,532.90","4,002.20","1,729.90B","-1.43%"
"01-07-2007","4,528.85","4,318.40","4,647.95","4,304.00","1,921.74B","4.88%"
"01-06-2007","4,318.30","4,296.05","4,362.95","4,100.80","1,577.78B","0.52%"
"01-05-2007","4,295.80","4,089.45","4,306.75","3,981.15","1,723.29B","5.09%"
"01-04-2007","4,087.90","3,820.00","4,217.90","3,617.00","1,644.08B","6.97%"
"01-03-2007","3,821.55","3,745.40","3,901.75","3,554.50","1,789.56B","2.04%"
"01-02-2007","3,745.30","4,083.40","4,245.30","3,674.85","1,549.09B","-8.26%"
"01-01-2007","4,082.70","3,966.25","4,167.15","3,833.60","1,523.56B","2.93%"
"01-12-2006","3,966.40","3,955.70","4,046.85","3,657.65","1,351.79B","0.30%"
"01-11-2006","3,954.50","3,744.10","3,976.80","3,737.00","1,520.60B","5.62%"
"01-10-2006","3,744.10","3,588.95","3,782.85","3,508.65","1,406.44B","4.34%"
"01-09-2006","3,588.40","3,414.00","3,603.70","3,328.45","1,398.05B","5.11%"
"01-08-2006","3,413.90","3,128.20","3,452.30","3,113.60","1,365.21B","8.61%"
"01-07-2006","3,143.20","3,128.75","3,208.85","2,878.25","1,594.83B","0.48%"
"01-06-2006","3,128.20","3,072.55","3,134.15","2,595.65","2,153.38B","1.86%"
"01-05-2006","3,071.05","3,557.55","3,774.15","2,896.40","2,391.86B","-13.68%"
"01-04-2006","3,557.60","3,403.15","3,598.95","3,290.35","1,826.41B","4.56%"
"01-03-2006","3,402.55","3,074.60","3,433.85","3,064.00","2,086.15B","10.66%"
"01-02-2006","3,074.70","3,001.30","3,090.30","2,928.10","1,439.75B","2.45%"
"01-01-2006","3,001.10","2,836.80","3,005.10","2,783.85","1,581.92B","5.80%"
"01-12-2005","2,836.55","2,651.60","2,857.00","2,641.95","1,711.22B","6.95%"
"01-11-2005","2,652.25","2,366.80","2,727.05","2,366.80","1,406.14B","11.86%"
"01-10-2005","2,370.95","2,601.00","2,669.20","2,307.45","1,744.37B","-8.86%"
"01-09-2005","2,601.40","2,384.70","2,633.90","2,382.90","1,483.40B","9.09%"
"01-08-2005","2,384.65","2,312.05","2,426.65","2,294.25","1,564.65B","3.13%"
"01-07-2005","2,312.30","2,220.45","2,332.55","2,171.25","1,286.31B","4.13%"
"01-06-2005","2,220.60","2,087.80","2,226.15","2,061.35","1,322.78B","6.37%"
"01-05-2005","2,087.55","1,903.10","2,099.35","1,898.15","1,147.33B","9.73%"
"01-04-2005","1,902.50","2,035.90","2,084.90","1,896.30","1,144.42B","-6.54%"
"01-03-2005","2,035.65","2,103.10","2,183.45","1,971.15","1,611.89B","-3.21%"
"01-02-2005","2,103.25","2,057.75","2,110.15","2,036.60","1,482.96B","2.22%"
"01-01-2005","2,057.60","2,080.00","2,120.15","1,894.40","1,729.91B","-1.10%"
"01-12-2004","2,080.50","1,960.75","2,088.45","1,944.50","1,950.17B","6.21%"
"01-11-2004","1,958.80","1,787.30","1,963.80","1,776.70","1,545.12B","9.62%"
"01-10-2004","1,786.90","1,744.40","1,829.45","1,737.85","1,733.64B","2.37%"
"01-09-2004","1,745.50","1,631.70","1,760.80","1,619.90","2,266.75B","6.97%"
"01-08-2004","1,631.75","1,631.55","1,658.90","1,573.70","2,434.81B","-0.03%"
"01-07-2004","1,632.30","1,506.65","1,638.70","1,472.55","2,934.14B","8.42%"
"01-06-2004","1,505.60","1,483.90","1,566.50","1,437.90","2,282.52B","1.48%"
"01-05-2004","1,483.60","1,796.10","1,837.95","1,292.20","2,388.11B","-17.40%"
"01-04-2004","1,796.10","1,771.45","1,912.35","1,771.45","2,042.05B","1.37%"
"01-03-2004","1,771.90","1,798.35","1,898.70","1,669.70","2,439.98B","-1.58%"
"01-02-2004","1,800.30","1,809.30","1,935.80","1,755.65","2,340.91B","-0.52%"
"01-01-2004","1,809.75","1,880.35","2,014.65","1,756.25","2,717.76B","-3.72%"